"","Date","China"
"1","01/22",548
"2","01/23",643
"3","01/24",920
"4","01/25",1406
"5","01/26",2075
"6","01/27",2877
"7","01/28",5509
"8","01/29",6087
"9","01/30",8141
"10","01/31",9802
"11","02/01",11891
"12","02/02",16630
"13","02/03",19716
"14","02/04",23707
"15","02/05",27440
"16","02/06",30587
"17","02/07",34110
"18","02/08",36814
"19","02/09",39829
"20","02/10",42354
"21","02/11",44386
"22","02/12",44759
"23","02/13",59895
"24","02/14",66358
"25","02/15",68413
"26","02/16",70513
"27","02/17",72434
"28","02/18",74211
"29","02/19",74619
"30","02/20",75077
"31","02/21",75550
"32","02/22",77001
"33","02/23",77022
"34","02/24",77241
"35","02/25",77754
"36","02/26",78166
"37","02/27",78600
"38","02/28",78928
"39","02/29",79356
"40","03/01",79932
"41","03/02",80136
"42","03/03",80261
"43","03/04",80386
"44","03/05",80537
"45","03/06",80690
"46","03/07",80770
"47","03/08",80823
"48","03/09",80860
"49","03/10",80887
"50","03/11",80921
"51","03/12",80932
"52","03/13",80945
"53","03/14",80977
"54","03/15",81003
"55","03/16",81033
"56","03/17",81058
"57","03/18",81102
"58","03/19",81156
"59","03/20",81250
"60","03/21",81305
"61","03/22",81435
"62","03/23",81498
"63","03/24",81591
"64","03/25",81661
"65","03/26",81782
"66","03/27",81897
"67","03/28",81999
"68","03/29",82122
"69","03/30",82198
"70","03/31",82279
