"","Date","Confirmed"
"91","01/22",1
"271","01/23",1
"451","01/24",2
"631","01/25",2
"811","01/26",3
"991","01/27",4
"1171","01/28",4
"1351","01/29",4
"1531","01/30",4
"1711","01/31",11
"1891","02/01",12
"2071","02/02",15
"2251","02/03",15
"2431","02/04",16
"2611","02/05",19
"2791","02/06",23
"2971","02/07",24
"3151","02/08",24
"3331","02/09",25
"3511","02/10",27
"3691","02/11",28
"3871","02/12",28
"4051","02/13",28
"4231","02/14",28
"4411","02/15",28
"4591","02/16",29
"4771","02/17",30
"4951","02/18",31
"5131","02/19",31
"5311","02/20",104
"5491","02/21",204
"5671","02/22",433
"5851","02/23",602
"6031","02/24",833
"6211","02/25",977
"6391","02/26",1261
"6571","02/27",1766
"6751","02/28",2337
"6931","02/29",3150
"7111","03/01",3736
"7291","03/02",4335
"7471","03/03",5186
"7651","03/04",5621
"7831","03/05",6088
"8011","03/06",6593
"8191","03/07",7041
"8371","03/08",7314
"8551","03/09",7478
"8731","03/10",7513
"8911","03/11",7755
"9091","03/12",7869
"9271","03/13",7979
"9451","03/14",8086
"9631","03/15",8162
"9811","03/16",8236
"9991","03/17",8320
"10171","03/18",8413
"10351","03/19",8565
"10531","03/20",8652
"10711","03/21",8799
"10891","03/22",8961
"11071","03/23",8961
"11251","03/24",9037
"11431","03/25",9137
"11611","03/26",9241
"11791","03/27",9332
"11971","03/28",9478
"12151","03/29",9583
"12331","03/30",9661
"12511","03/31",9786
